date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:30	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%225df9b4b3-286ac%22	https://technext.github.io/jony/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/fontawesome-webfont3e6e.ttf	(from https://technext.github.io/jony/css/font-awesome.min.css)
15:55:30	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-6c7db%22	https://technext.github.io/jony/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/fontawesome-webfont3e6e.svg	(from https://technext.github.io/jony/css/font-awesome.min.css)
15:55:30	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-1339c%22	https://technext.github.io/jony/fonts/themify.eot?-fvbane	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/themify9f24.eot	(from https://technext.github.io/jony/css/themify-icons.css)
15:55:30	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-1339c%22	https://technext.github.io/jony/fonts/themify.eot?	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/themifyd41d.eot	(from https://technext.github.io/jony/css/themify-icons.css)
15:55:30	56108/56108	---M--	200	added ('OK')	font/woff	etag:%225df9b4b3-db2c%22	https://technext.github.io/jony/fonts/themify.woff?-fvbane	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/themify9f24.woff	(from https://technext.github.io/jony/css/themify-icons.css)
15:55:31	78584/78584	---M-Z	200	added ('OK')	font/ttf	etag:W/%225df9b4b3-132f8%22	https://technext.github.io/jony/fonts/themify.ttf?-fvbane	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/themify9f24.ttf	(from https://technext.github.io/jony/css/themify-icons.css)
15:55:31	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-3931d%22	https://technext.github.io/jony/fonts/themify.svg?-fvbane	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/themify9f24.svg	(from https://technext.github.io/jony/css/themify-icons.css)
15:55:31	4606/4606	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-11fe%22	https://technext.github.io/jony/fonts/Flaticon.eot	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/Flaticon.eot	(from https://technext.github.io/jony/css/flaticon.css)
15:55:31	4606/4606	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-11fe%22	https://technext.github.io/jony/fonts/Flaticon.eot?	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/Flaticond41d.eot	(from https://technext.github.io/jony/css/flaticon.css)
15:55:32	2384/2384	---M--	200	added ('OK')	font/woff2	etag:%225df9b4b3-950%22	https://technext.github.io/jony/fonts/Flaticon.woff2	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/Flaticon.woff2	(from https://technext.github.io/jony/css/flaticon.css)
15:55:32	3028/3028	---M--	200	added ('OK')	font/woff	etag:%225df9b4b3-bd4%22	https://technext.github.io/jony/fonts/Flaticon.woff	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/Flaticon.woff	(from https://technext.github.io/jony/css/flaticon.css)
15:55:32	4428/4428	---M-Z	200	added ('OK')	font/ttf	etag:W/%225df9b4b3-114c%22	https://technext.github.io/jony/fonts/Flaticon.ttf	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/Flaticon.ttf	(from https://technext.github.io/jony/css/flaticon.css)
15:55:32	24192/24192	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-5e80%22	https://technext.github.io/jony/fonts/Flaticon.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/Flaticon.svg	(from https://technext.github.io/jony/css/flaticon.css)
15:55:32	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9757f1-247b%22	https://technext.github.io/jony/css/Flaticon.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/Flaticon.svg	(from https://technext.github.io/jony/css/flaticon.css)
15:55:33	6828/6828	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225df9b4b3-1aac%22	https://technext.github.io/jony/fonts/gijgo-material.eot?235541	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/gijgo-materialba15.eot	(from https://technext.github.io/jony/css/gijgo.css)
15:55:33	6636/6636	---M-Z	200	added ('OK')	font/ttf	etag:W/%225df9b4b3-19ec%22	https://technext.github.io/jony/fonts/gijgo-material.ttf?235541	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/gijgo-materialba15.ttf	(from https://technext.github.io/jony/css/gijgo.css)
15:55:33	6716/6716	---M--	200	added ('OK')	font/woff	etag:%225df9b4b3-1a3c%22	https://technext.github.io/jony/fonts/gijgo-material.woff?235541	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/gijgo-materialba15.woff	(from https://technext.github.io/jony/css/gijgo.css)
15:55:33	23255/23255	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-5ad7%22	https://technext.github.io/jony/fonts/gijgo-material.svg?235541	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/fonts/gijgo-materialba15.svg	(from https://technext.github.io/jony/css/gijgo.css)
15:55:34	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f99a1ac-247b%22	https://technext.github.io/jony/img/slider/slider-img-1.jpg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/slider/slider-img-1.jpg	(from https://technext.github.io/jony/css/style.css)
15:55:34	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607890ba-247b%22	https://technext.github.io/jony/img/background-img/bg-img-2.jpg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/background-img/bg-img-2.jpg	(from https://technext.github.io/jony/css/style.css)
15:55:34	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607890ba-247b%22	https://technext.github.io/jony/img/background-img/bg-img-3.jpg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/background-img/bg-img-3.jpg	(from https://technext.github.io/jony/css/style.css)
15:55:34	75134/75134	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-1257e%22	https://technext.github.io/jony/img/banner/banner.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/banner/banner.png	(from https://technext.github.io/jony/css/style.css)
15:55:35	1959463/1959463	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-1de627%22	https://technext.github.io/jony/img/banner/banner_2.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/banner/banner_2.png	(from https://technext.github.io/jony/css/style.css)
15:55:35	58346/58346	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-e3ea%22	https://technext.github.io/jony/img/banner/footer_bg.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/banner/footer_bg.png	(from https://technext.github.io/jony/css/style.css)
15:55:35	1821347/1821347	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-1bcaa3%22	https://technext.github.io/jony/img/banner/home_details.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/banner/home_details.png	(from https://technext.github.io/jony/css/style.css)
15:55:36	40401/40401	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-9dd1%22	https://technext.github.io/jony/img/banner/bradcam.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/banner/bradcam.png	(from https://technext.github.io/jony/css/style.css)
